Data;BTC USD;ETH USD;LTC USD;ADA USD;XRP USD;EOS USD
2020-04-23;7323;185;42;0,0391125;0,19122;2,6595
2020-04-22;6979;177;41;0,035545;0,18579;2,57475
2020-04-21;6842;171;41;0,0343;0,18316;2,5185
2020-04-20;6984;176;41;0,03498275;0,186;2,5615
2020-04-19;7168;183;43;0,035976;0,19211;2,65275
2020-04-18;7139;180;43;0,035541;0,19232;2,67875
2020-04-17;7067;172;42;0,0344435;0,18935;2,6315
2020-04-16;6849;162;41;0,03304925;0,18457;2,52675
2020-04-15;6756;156;40;0,032617;0,18416;2,43925
2020-04-14;6858;158;41;0,0331645;0,18665;2,4555
2020-04-13;6825;156;41;0,03299125;0,18685;2,4455
2020-04-12;6932;159;42;0,0336805;0,18991;2,512
2020-04-11;6857;158;42;0,0333475;0,18832;2,49175
2020-04-10;7051;162;44;0,03442625;0,1916;2,59425
2020-04-09;7288;170;46;0,036103;0,1993;2,72825
2020-04-08;7274;169;46;0,03593275;0,19726;2,68975
2020-04-07;7265;169;45;0,03568275;0,19653;2,69275
2020-04-06;7053;157;43;0,0339415;0,18871;2,557
2020-04-05;6801;143;40;0,03212975;0,17987;2,3555
2020-04-04;6808;143;41;0,0322775;0,18042;2,342
2020-04-03;6796;142;40;0,0321255;0,17918;2,31825
2020-04-02;6797;140;40;0,03176825;0,17836;2,32175
2020-04-01;6467;133;39;0,0304365;0,17318;2,22325
2020-03-31;6416;133;39;0,03006225;0,17331;2,21825
2020-03-30;6183;129;38;0,02902375;0,16791;2,1805
2020-03-29;6068;128;38;0,02895775;0,16926;2,15875
2020-03-28;6257;130;38;0,02908725;0,17369;2,17775
2020-03-27;6559;135;39;0,029888;0,17641;2,2665
2020-03-26;6679;137;40;0,030103;0,16864;2,3065
2020-03-25;6707;137;40;0,02972175;0,1616;2,3105
2020-03-24;6602;137;40;0,0296555;0,16045;2,319
2020-03-23;6142;129;37;0,02818175;0,15325;2,2055
2020-03-22;6044;128;37;0,02843375;0,15348;2,22375
2020-03-21;6179;132;38;0,02936375;0,15705;2,23375
2020-03-20;6246;135;39;0,03008775;0,16051;2,23575
2020-03-19;5792;128;37;0,0285195;0,15716;2,1595
2020-03-18;5254;116;34;0,025688;0,14609;1,962
2020-03-17;5168;114;34;0,02509275;0,14497;1,9415
2020-03-16;5061;115;34;0,02495625;0,14397;1,92725
2020-03-15;5383;125;36;0,02678675;0,15193;2,02525
2020-03-14;5370;128;36;0,02709625;0,15208;2,03025
2020-03-13;5051;118;33;0,02466475;0,14154;1,85925
2020-03-12;6318;150;39;0,0312495;0,17078;2,41125
2020-03-11;7852;195;49;0,0400745;0,20828;3,0265
2020-03-10;7927;201;50;0,04158625;0,21059;3,07125
2020-03-09;7944;200;50;0,041816;0,20582;3,03075
2020-03-08;8456;218;56;0,04567875;0,21937;3,331
2020-03-07;9013;243;62;0,0501325;0,24026;3,735
2020-03-06;9091;236;63;0,051094;0,24208;3,793
2020-03-05;8929;228;61;0,05029725;0,23787;3,6965
2020-03-04;8760;224;60;0,0490045;0,2344;3,6015
